,company_id,2014-01-01_payments,2014-02-01_payments,2014-03-01_payments,2014-04-01_payments,2014-05-01_payments,2014-06-01_payments,2014-07-01_payments,2014-08-01_payments,2014-09-01_payments,2014-10-01_payments,2014-11-01_payments,2014-12-01_payments,2014-01-01_mandates,2014-02-01_mandates,2014-03-01_mandates,2014-04-01_mandates,2014-05-01_mandates,2014-06-01_mandates,2014-07-01_mandates,2014-08-01_mandates,2014-09-01_mandates,2014-10-01_mandates,2014-11-01_mandates,2014-12-01_mandates,vertical,incorporation_date
793,883,3.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,accountancy,2013-05-13
794,884,10.0,9.0,0.0,0.0,2.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,gym/fitness,2012-09-02
795,885,0.0,1.0,1.0,2.0,2.0,50.0,1291.0,1345.0,1399.0,1505.0,1680.0,1764.0,0.0,0.0,0.0,36.0,15.0,8.0,6.0,6.0,5.0,6.0,7.0,2.0,gym/fitness,2011-10-31
796,886,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,6.0,11.0,11.0,12.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,accountancy,2012-01-03
797,887,0.0,0.0,2.0,1.0,3.0,3.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,freelance developer,2012-02-16
798,889,0.0,0.0,1.0,23.0,34.0,24.0,18.0,19.0,24.0,10.0,8.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gym/fitness,2012-02-21
799,890,91.0,102.0,121.0,137.0,210.0,259.0,282.0,291.0,349.0,335.0,349.0,297.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,3.0,4.0,gym/fitness,2012-12-18
800,893,9.0,0.0,0.0,22.0,20.0,25.0,21.0,19.0,21.0,24.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,gym/fitness,2008-01-19
801,894,1.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,gym/fitness,2003-05-06
802,896,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,accountancy,2010-12-31
803,897,68.0,145.0,41.0,30.0,163.0,63.0,17.0,9.0,6.0,105.0,125.0,30.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,accountancy,2003-09-23
804,898,3.0,15.0,22.0,30.0,29.0,27.0,33.0,29.0,30.0,35.0,31.0,35.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,freelance developer,2011-10-09
805,900,0.0,9.0,91.0,175.0,97.0,104.0,96.0,83.0,107.0,98.0,101.0,100.0,31.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gym/fitness,2010-03-06
806,901,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,accountancy,2003-10-18
807,902,0.0,0.0,0.0,0.0,1.0,1.0,3.0,12.0,23.0,38.0,31.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,freelance developer,2007-06-14
808,904,12.0,11.0,13.0,13.0,14.0,12.0,13.0,16.0,15.0,15.0,19.0,20.0,2.0,14.0,2.0,2.0,2.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,accountancy,2010-06-24
809,905,10.0,11.0,9.0,14.0,9.0,16.0,15.0,13.0,12.0,11.0,11.0,13.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,accountancy,2007-02-17
810,906,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,8.0,5.0,4.0,3.0,5.0,4.0,5.0,3.0,5.0,2.0,4.0,4.0,freelance developer,2008-03-08
811,907,3.0,3.0,1.0,5.0,3.0,2.0,6.0,1.0,3.0,5.0,1.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,accountancy,2013-03-23
812,908,2.0,3.0,4.0,4.0,0.0,4.0,2.0,2.0,1.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,3.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,freelance developer,2003-09-13
813,909,9.0,8.0,1.0,6.0,2.0,21.0,1.0,0.0,12.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,freelance developer,2007-03-22
814,910,40.0,34.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,accountancy,2012-11-15
815,911,5.0,7.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,accountancy,2010-01-28
816,912,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,freelance developer,2012-06-30
817,913,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,2.0,4.0,2.0,0.0,gym/fitness,2007-11-22
818,914,13.0,8.0,8.0,6.0,6.0,6.0,5.0,2.0,2.0,10.0,2.0,6.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,accountancy,2004-03-06
819,915,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,freelance developer,2010-07-26
820,916,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,6.0,6.0,16.0,9.0,14.0,10.0,7.0,2.0,5.0,8.0,8.0,8.0,38.0,4.0,gym/fitness,2013-11-18
821,917,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,12.0,7.0,6.0,0.0,1.0,60.0,15.0,12.0,5.0,1.0,freelance developer,2009-01-04
